Product Name,Orders,Total_Sales,Total_Profit,Avg_Profit,Avg_Profit_Ratio,Loss_Making_Orders,Profit_Margin_%,Loss_Rate_%
Nike Kids' Grade School KD VI Basketball Shoe,63,18598.14,1976.8799999999999,31.37904761904762,0.1373015873015873,11,10.629450041778371,17.46031746031746
Nike Men's CJ Elite 2 TD Football Cleat,22246,2891757.54,311902.82,14.02062483143037,0.12012316821001527,4169,10.785925710770343,18.740447720938597
Nike Men's Comfort 2 Slide,328,44585.09,5747.9800000000005,17.524329268292686,0.13359756097560976,64,12.89215744545991,19.51219512195122
Nike Men's Deutschland Weltmeister Winners Bl,298,27210.0,2666.47,8.947885906040268,0.11885906040268457,62,9.799595736861447,20.80536912751678
Nike Men's Dri-FIT Victory Golf Polo,21035,3147800.0,350421.03,16.658950796291897,0.12219348704540053,3923,11.132252049050132,18.649869265509864
Nike Men's Fingertrap Max Training Shoe,64,7999.36,602.3799999999999,9.412187499999998,0.0915625,11,7.530352428194255,17.1875
Nike Men's Free 5.0+ Running Shoe,12169,3667633.2,379915.82,31.219970416632428,0.1189818390993508,2271,10.358610015854367,18.662174377516642
Nike Men's Free TR 5.0 TB Training Shoe,68,20597.94,714.4300000000001,10.506323529411766,0.06485294117647059,14,3.4684536414806533,20.588235294117645
Nike Men's Kobe IX Elite Low Basketball Shoe,63,12599.37,1080.65,17.153174603174605,0.09650793650793651,11,8.577016152394922,17.46031746031746
Nike Women's Free 5.0 TR FIT PRT 4 Training S,70,19567.94,1564.7500000000002,22.35357142857143,0.08842857142857143,17,7.99649835394017,24.285714285714285
Nike Women's Legend V-Neck T-Shirt,279,20025.0,2772.66,9.937849462365591,0.13992831541218637,43,13.845992509363295,15.412186379928317
Nike Women's Tempo Shorts,318,27210.0,3095.28,9.733584905660377,0.11320754716981132,61,11.375523704520397,19.18238993710692
O'Brien Men's Neoprene Life Vest,19298,2888993.94,318451.43,16.501784122707015,0.12393615918748056,3617,11.022917895078727,18.742874909317027
Ogio Race Golf Shoes,61,10369.390000000001,1810.07,29.67327868852459,0.19147540983606556,6,17.45589663422824,9.836065573770492
Pelican Maverick 100X Kayak,40,13999.6,1070.5900000000001,26.764750000000003,0.08275,8,7.647289922569217,20.0
Pelican Sunstream 100 Kayak,15500,3099845.0,324076.37,20.908152903225805,0.1165741935483871,2916,10.454599181571982,18.81290322580645
Perfect Fitness Perfect Rip Deck,24515,4421143.02,493828.3,20.143924128084844,0.12466041199265757,4583,11.169697468868584,18.69467672853355
Polar FT4 Heart Rate Monitor,60,17638.04,3476.85,57.9475,0.23983333333333334,7,19.712224260745522,11.666666666666666
Polar Loop Activity Tracker,54,5937.3,326.2,6.04074074074074,0.06,12,5.494079800582756,22.22222222222222
Porcelain crafts,484,223356.32,25531.17,52.75035123966942,0.12539256198347107,96,11.430690656078143,19.834710743801654
Rock music,434,113122.09999999999,14436.32,33.263410138248844,0.14264976958525344,80,12.761714996450738,18.433179723502306
SOLE E25 Elliptical,10,9999.9,-169.56000000000006,-16.956000000000007,-0.036000000000000004,3,-1.6956169561695624,30.0
SOLE E35 Elliptical,15,29999.85,-965.1199999999999,-64.34133333333332,-0.029999999999999978,3,-3.217082752080427,20.0
Smart watch ,357,117006.75,12518.61,35.066134453781515,0.12106442577030813,60,10.69904941381587,16.80672268907563
Sports Books ,405,12587.4,883.01,2.1802716049382718,0.07906172839506172,78,7.015030903919793,19.25925925925926
Stiga Master Series ST3100 Competition Indoor,27,8909.73,479.28,17.75111111111111,0.049259259259259246,8,5.379287587839362,29.629629629629626
Summer dresses,650,140283.0,19102.85,29.389,0.151,107,13.61736632378834,16.46153846153846
TYR Boys' Team Digi Jammer,300,35191.2,3658.98,12.1966,0.11523333333333334,53,10.397428902680216,17.666666666666668
TaylorMade 2014 Purelite Stand Bag,65,11699.35,730.1800000000001,11.233538461538462,0.06384615384615386,12,6.241201434267716,18.461538461538463
TaylorMade White Smoke IN-12 Putter,63,19298.07,2540.4,40.32380952380952,0.16920634920634922,9,13.164010701588294,14.285714285714285
TaylorMade Women's RBZ SL Rescue,68,8839.32,1295.3,19.048529411764704,0.155,8,14.653842150753677,11.76470588235294
Team Golf New England Patriots Putter Grip,281,20566.77,2548.58,9.069679715302492,0.11804270462633452,54,12.391736767611054,19.217081850533805
Team Golf Pittsburgh Steelers Putter Grip,295,22166.13,3039.53,10.303491525423729,0.15559322033898304,42,13.712497400313001,14.237288135593221
Team Golf San Francisco Giants Putter Grip,292,21766.29,2785.93,9.54085616438356,0.13684931506849315,56,12.799287338356697,19.17808219178082
Team Golf St. Louis Cardinals Putter Grip,313,23940.42,2815.12,8.993993610223642,0.11319488817891374,59,11.758858031730437,18.849840255591054
Team Golf Tennessee Volunteers Putter Grip,300,22865.85,2375.05,7.916833333333334,0.12566666666666668,55,10.386886995235255,18.333333333333332
Team Golf Texas Longhorns Putter Grip,299,22366.05,3079.31,10.298695652173913,0.1457190635451505,53,13.767786444186614,17.725752508361204
The North Face Women's Recon Backpack,57,17919.0,2803.8,49.189473684210526,0.15526315789473683,10,15.6470785200067,17.543859649122805
Titleist Club Glove Travel Cover,34,10199.66,1312.27,38.59617647058823,0.13999999999999999,8,12.86582101756333,23.52941176470588
Titleist Pro V1 High Numbers Personalized Gol,292,44243.49,6093.15,20.86695205479452,0.15246575342465754,48,13.77185660534465,16.43835616438356
Titleist Pro V1x Golf Balls,291,41415.37,3699.61,12.71343642611684,0.1009278350515464,53,8.932939630866512,18.213058419243985
Titleist Pro V1x High Numbers Golf Balls,265,38392.0,4592.28,17.329358490566037,0.12547169811320755,50,11.961554490518859,18.867924528301888
Titleist Pro V1x High Numbers Personalized Go,306,47206.92,6671.09,21.800947712418303,0.14761437908496733,46,14.131593418930954,15.032679738562091
Titleist Small Wheeled Travel Cover,54,13499.460000000001,1011.6500000000001,18.73425925925926,0.095,11,7.494003463842258,20.37037037037037
Top Flite Women's 2014 XL Hybrid,303,17731.13,1830.3999999999999,6.040924092409241,0.09867986798679867,64,10.323087135450475,21.122112211221122
Total Gym 1400,36,10799.64,808.62,22.461666666666666,0.08888888888888889,7,7.48747180461571,19.444444444444446
Toys ,529,6104.66,900.71,1.7026654064272213,0.1619281663516068,82,14.754466260201223,15.500945179584122
Under Armour Girls' Toddler Spine Surge Runni,10617,1269082.65,126278.51,11.893991711406235,0.11250070641424131,2085,9.95037714840716,19.638315908448714
Under Armour Hustle Storm Medium Duffle Bag,299,29601.54,4067.61,13.604046822742475,0.14849498327759197,49,13.741210761332013,16.387959866220736
Under Armour Kids' Mercenary Slide,251,22252.05,2431.97,9.689123505976095,0.13601593625498007,42,10.929195287625184,16.733067729083665
Under Armour Men's Compression EV SL Slide,280,36576.87,3745.34,13.376214285714287,0.12914285714285714,58,10.239640515987288,20.714285714285715
Under Armour Men's Tech II T-Shirt,280,20866.649999999998,2387.41,8.526464285714285,0.13010714285714287,51,11.441271119226135,18.21428571428571
Under Armour Women's Ignite PIP VI Slide,285,27127.52,2057.21,7.218280701754386,0.09645614035087718,59,7.583479802060785,20.701754385964914
Under Armour Women's Ignite Slide,311,29398.809999999998,4030.38,12.959421221864952,0.14192926045016077,48,13.709330411673125,15.434083601286176
Under Armour Women's Micro G Skulpt Running S,287,46559.590000000004,4469.77,15.57411149825784,0.11721254355400697,51,9.600106014679254,17.770034843205575
Web Camera,592,267607.68,30289.8,51.1652027027027,0.12646959459459461,108,11.31873345338968,18.243243243243242
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,64,12096.0,1051.8,16.434375,0.10265625,10,8.695436507936508,15.625
adidas Brazuca 2014 Official Match Ball,65,10399.35,1642.73,25.27276923076923,0.17553846153846153,10,15.7964680484838,15.384615384615385
adidas Kids' F5 Messi FG Soccer Cleat,262,27327.19,2906.33,11.092862595419847,0.12625954198473283,42,10.635304983790869,16.030534351145036
adidas Men's F10 Messi TRX FG Soccer Cleat,305,56330.61,8213.07,26.92809836065574,0.14,54,14.580119050725706,17.704918032786885
adidas Men's Germany Black Crest Away Tee,289,21475.0,2833.7200000000003,9.805259515570935,0.13602076124567475,46,13.195436554132714,15.916955017301039
adidas Youth Germany Black/Red Away Match Soc,314,67830.0,8129.400000000001,25.889808917197453,0.10541401273885351,71,11.984962406015038,22.611464968152866
insta-bed Neverflat Air Mattress,60,8999.400000000001,1036.62,17.276999999999997,0.13116666666666668,11,11.518767917861188,18.333333333333332
